BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
The Casualties,Jersey City,New Jersey,USA,1990
Catch 22,East Brunswick,New Jersey,USA,1996
Catholic Discipline,Los Angeles,California,USA,1979
Caustic Christ,Pittsburgh,Pennsylvania,USA,2000
Cerebral Ballzy,New York,New York,USA,2008
Ceremony,Rohnert Park,California,USA,2005
Chain of Strength,California,,USA,1988
Champion,Seattle,Washington,USA,1999
A Change of Pace,Peoria,Arizona,USA,2001
Channel 3,Cerritos,California,USA,1980
Charles Bronson,Chicago,Illinois,USA,1994
Cheap Sex,San Diego,California,USA,2002
Chemical People,Los Angeles,California,USA,1986
Cherry Poppin' Daddies,Eugene,Oregon,USA,1989
Children 18:3,Morris,Minnesota,USA,1999
The Chinkees,San Francisco,California,USA,1998
Choking Victim,New York,New York,USA,1992
Christ on Parade,San Francisco,California,USA,1985
Circle Jerks,Hermosa Beach,California,USA,1979
CIV,New York,New York,USA,1994
Civet,Long Beach,California,USA,2000
Classics of Love,Emeryville,California,USA,2008
Clit 45,Long Beach,California,USA,1996
Clockcleaner,Philadelphia,Pennsylvania,USA,2003
Closet Monster,Ajax,Ontario,USA,1997
Cobra Skulls,Reno,Nevada,USA,2005
The Code,Pittsburgh,Pennsylvania,USA,2000
Code Orange Kids,Pittsburgh,Pennsylvania,USA,2008
Code 13,Minneapolis,Minnesota,USA,1995
Colossal,Chicago,Illinois,USA,2003
Converge,Salem,Massachusetts,USA,1990
The Cooters,Oxford,Mississippi,USA,1993
Corrosion of Conformity,Raleigh,North Carolina,USA,1982
Corrupted Ideals,Long Beach,California,USA,1987
The Cost,San Francisco,California,USA,1999
Count Me Out,Richmond,Virginia,USA,1997
Craig's Brother,Santa Cruz,California,USA,1995
The Cramps,Sacramento,California,USA,1976
Crime,San Francisco,California,USA,1976
Crime in Stereo,New York,New York,USA,2002
The Criminals,Berkeley,California,USA,1994
Crimpshrine,Berkeley,California,USA,1982
Cringer,Manoa,Hawaii,USA,1985
Cro-Mags,New York,New York,USA,1982
The Crucified,Fresno,California,USA,1984
Crucifix,Berkeley,California,USA,1980
The Crucifucks,Lansing,Michigan,USA,1981
Los Crudos,Chicago,Illinois,USA,1991
Cruel Hand,Portland,Maine,USA,2006
Crumbsuckers,Baldwin,New York,USA,1982
The Cute Lepers,Seattle,Washington,USA,2007
Cypher in the Snow,San Francisco,California,USA,1996
Dag Nasty,Washington,D.C.,USA,1985
Damage,New York,New York,USA,1983
Damnation A.D.,Washington,D.C.,USA,1992
Dance Hall Crashers,Berkeley,California,USA,1987
Darby Crash Band,Los Angeles,California,USA,1980
Darkbuster,Boston,Massachusetts,USA,1996
The Dead Boys,Cleveland,Ohio,USA,1976
Dead Kennedys,San Francisco,California,USA,1978
Dead Milkmen,Philadelphia,Pennsylvania,USA,1983
Dead to Me,Philadelphia,Pennsylvania,USA,1983
Death,Detroit,Michigan,USA,1971
Death Before Dishonor,Boston,Massachusetts,USA,2000
Death by Stereo,Orange County,California,USA,1996
Deep Wound,Westfield,Massachusetts,USA,1982
Defeater,Boston,Massachusetts,USA,2004
Defiance,Portland,Oregon,USA,1993
The Del Fuegos,Boston,Massachusetts,USA,1980
