BAND,LOWER_POLITICAL,UPPER_POLITICAL,COUNTRY,ORIGIN_YEAR
One Man Army,San Francisco,California,USA,1996
Only Crime,Santa Cruz,California,USA,2003
Operation Ivy,Berkeley,California,USA,1987
Orange 9mm,New York York,USA,USA,1994
The Orwells,Elmhurst,Illinois,USA,2009
Osaka Popstar,New York City,New York,USA,2006
Osker,Los Angeles,California,USA,1998
The Other,San Francisco,California,USA,1995
Outbreak,Portland,Maine,USA,2002
Over My Dead Body,San Diego,California,USA,2001
The Pagans,Cleveland,Ohio,USA,1977
Pain,Tuscaloosa,Alabama,USA,1994
Paint It Black,Philadelphia,Pennsylvania,USA,2002
Paramore,Franklin,Tennessee,USA,2004
Parasites,Livingston,New Jersey,USA,1986
Patti Smith,New York City,New York,USA,1971
Pegboy,Chicago,Illinois,USA,1990
Pennywise,Hermosa Beach,California,USA,1988
Pere Ubu,Cleveland,Ohio,USA,1975
Pg. 99,Sterling,Virginia,USA,1998
Pimpbot,Honolulu,Hawaii,USA,2001
Pinkerton Thugs,Kennebunk,Maine,USA,1994
Pink Lincolns,Tampa,Florida,USA,1986
Pinhead Gunpowder,San Francisco,California,USA,1990
Pipedown,Grass Valley,California,USA,1997
Pissed Jeans,Allentown,Pennsylvania,USA,2004
Pitchblende,Washington,D.C.,USA,1991
Pivit,San Diego,California,USA,1994
Pixies,Boston,Massachusetts,USA,1986
Plasmatics,New York City,New York,USA,1977
The Plugz,Los Angeles,California,USA,1977
Point of Recognition,San Bernardino,California,USA,1998
Poison Idea,Portland,Oregon,USA,1980
Pour Habit,Long Beach,California,USA,2004
Pridebowl,Newport Beach,California,USA,1994
Project X,New York City,New York,USA,1987
The Proletariat,Fall River,Massachusetts,USA,1980
Pro-Pain,New York City,New York,USA,1992
Pulley,Simi Valley,California,USA,1994
Pygmy Lush,Sterling,Virginia,USA,2004
The Quails,San Francisco,California,USA,1999
The Queers,Portsmouth,New Hampshire,USA,1982
Quit,Miami,Florida,USA,1988
Racetraitor,Chicago,Illinois,USA,1996
The Radioactive Chicken Heads,Santa Ana,California,USA,1994
R.A.M.B.O.,Philadelphia,Pennsylvania,USA,1999
Ramones,New York City,New York,USA,1974
Rancid,Albany,California,USA,1991
Razors in the Night,Boston,Massachusetts,USA,2009
Reach the Sky,Boston,Massachusetts,USA,1997
Reagan Youth,New York City,New York,USA,1980
The Reatards,Memphis,Tennessee,USA,1998
Redemption 87,San Francisco,California,USA,1995
Redd Kross,Hawthorne,California,USA,1980
Reel Big Fish,Huntington Beach,California,USA,1992
Regents,Washington,D.C.,USA,2007
Relient K,Canton,Ohio,USA,1998
Residual Kid,Austin,Texas,USA,2009
Re-Volts,San Francisco,California,USA,2007
RF7,Los Angeles,California,USA,1979
Rhino 39,Los Angeles,California,USA,1970
Ricanstruction,New York City,New York,USA,1990
Rich Kids on LSD,Montecito,California,USA,1982
Ringworm,Cleveland,Ohio,USA,1991
Rise Against,Chicago,Illinois,USA,1999
Rites of Spring,Washington,D.C.,USA,1984
Riverboat Gamblers,Denton,Texas,USA,1997
River City High,Richmond,Virginia,USA,1999
Riverdales,Chicago,Illinois,USA,1994
Rocket from the Crypt,San Diego,California,USA,1990
Rocket from the Tombs,Cleveland,Ohio,USA,1974
Roger Miret and The Disasters,New York,New York,USA,1999
Rollins Band,Los Angeles,California,USA,1987
Rorschach,Atlantic City,New Jersey,USA,1989
The Rudiments,San Francisco,California,USA,1990
The Runaways,Los Angeles,California,USA,1975
Rx Bandits,Seal Beach,California,USA,1995
Sam Black Church,Boston,Massachusetts,USA,1988
Samhain,Lodi,New Jersey,USA,1983
Samiam,Berkeley,California,USA,1988
Save Ferris,Orange County,California,USA,1995
Saves the Day,Princeton,New Jersey,USA,1994
The Scarred,Anaheim,California,USA,2003
Scaterd Few,Burbank,California,USA,1983
Scream,Alexandria,Virginia,USA,1981
The Screamers,Los Angeles,California,USA,1975
Screeching Weasel,Chicago,Illinois,USA,1986
Screw 32,Berkeley,California,USA,1992
Seaweed,Tacoma,Washington,USA,1989
Secret Crowds,Las Vegas,Nevada,USA,2008
The Secretions,Sacramento,California,USA,1991
The Sect,Whittier,California,USA,1981
Senior Discount,Warren,Rhode Island,USA,2004
Senses Fail,Ridgewood,New Jersey,USA,2001
Set Your Goals,Orinda,California,USA,2004
Severed Head of State,Austin,Texas,USA,1999
Shai Hulud,Pompano Beach,Florida,USA,1995
Shattered Faith,Orange County,California,USA,1978
Sheer Terror,New York City,New York,USA,1984
Shelter,New York City,New York,USA,1991
Shook Ones,Bellingham,Washington,USA,2004
Sick of It All,New York City,New York,USA,1986
Side by Side,New York City,New York,USA,1988
Siege,Weymouth,Massachusetts,USA,1983
The Sillies,Detroit,Michigan,USA,1977
Sin 34,Santa Monica,California,USA,1981
Sixer,Richmond,Virginia,USA,1999
Skarhead,New York City,New York,USA,1995
Skankin' Pickle,San Jose,California,USA,1989
Skewbald/Grand Union,Washington D.C.,,USA,1981
Slapshot,Boston,Massachusetts,USA,1985
Slapstick,Elgin,Illinois,USA,1993
Sleater-Kinney,Olympia,Washington,USA,1994
Sledgeback,Seattle,Washington,USA,2004
Sleepytime Trio,Harrisonburg,Virginia,USA,1994
The Slickee Boys,Washington D.C.,,USA,1975
Slightly Stoopid,San Diego,California,USA,1995
Sloppy Meateaters,Rome,Georgia,USA,1999
Sloppy Seconds,Indianapolis,Indiana,USA,1985
Slow Gherkin,Santa Cruz,California,USA,1993
Sludgeworth,Chicago,Illinois,USA,1989
Smoke or Fire,Boston,Massachusetts,USA,1998
