1148	blind
1145	roll
1142	wouldn't
1137	ones
1133	isn't
1130	wall
1130	radio
1129	mouth
1125	cannot
1124	arms
1117	thoughts
1111	car
1106	standing
1105	tears
1105	drive
1103	between
1099	trust
1099	taking
1097	nowhere
1094	music
1094	hang
1093	skin
1093	hearts
1090	touch
1090	fucked
1078	great
1073	worth
1072	anyone
1071	pull
1070	since
1069	stupid
1060	means
1056	talking
1056	speak
1050	yet
1050	year
1049	breathe
1041	faith
1041	become
1038	stuck
1038	fuckin'
1033	round
1032	started
1026	eat
1024	somebody
1023	son
1023	freedom
1016	hair
1013	keeps
1011	fly
1007	shut
1001	clear
1001	alright
1000	beautiful
998	very
998	most
989	lay
987	water
985	sea
983	men
980	sense
980	scream
968	stars
967	pass
965	fighting
965	ass
964	ways
963	story
962	mother
961	tv
961	calling
959	fell
954	second
954	grow
950	family
948	both
947	earth
945	tear
940	heaven
939	caught
931	meet
929	working
929	nice
928	shot
925	pride
924	point
924	holding
923	read
923	laugh
917	killing
913	anyway
913	already
912	looks
910	called
908	upon
904	wild
899	front
894	moment
891	fool
887	meant
886	which
885	somewhere
883	self
881	someday
880	sight
879	win
879	bleed
874	finally
870	carry
868	american
867	perfect
864	low
863	okay
863	fade
860	watching
860	peace
858	taste
857	songs
856	damn
853	learned
852	wasted
846	rules
841	children
840	hot
839	turning
838	state
838	known
836	kick
835	wasn't
831	survive
828	safe
827	screaming
826	party
826	guy
822	ha
819	mess
818	nights
818	knees
817	enemy
817	buy
816	scared
813	top
812	bit
810	shame
809	half
806	beer
805	shake
804	minds
796	million
796	clean
794	dirty
793	everyday
792	taken
790	king
783	losing
781	insane
781	dog
779	blow
777	changed
776	scene
773	rather
773	less
771	push
771	miles
770	four
768	spent
768	race
768	memories
768	loud
768	evil
767	leaving
766	promise
765	wind
763	problems
762	lead
762	kid
761	answer
760	drunk
759	thousand
758	small
757	looked
756	act
755	broke
754	playing
753	smoke
753	giving
751	loved
748	tight
745	met
745	bright
743	catch
